epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.0287,0.65734,3.66258,0.9675,0.01669,0.65816,0.07359,0.06673,0.43305,3.26329,0.83995,0.0675077,0.000328205,0.000328205
2,132.134,0.49888,2.66607,0.899,0.3624,0.33022,0.16541,0.15602,0.34738,2.38716,0.81948,0.0344983,0.000652182,0.000652182
3,197.948,0.46889,2.20252,0.88501,0.42998,0.44313,0.27996,0.26254,0.36197,2.08769,0.82505,0.00147955,0.000966731,0.000966731
4,263.82,0.46018,1.93765,0.88433,0.26495,0.4973,0.29699,0.28388,0.31344,1.8793,0.81355,0.000957571,0.000957571,0.000957571
5,329.13,0.43222,1.72217,0.87882,0.48029,0.5593,0.40368,0.39141,0.3024,1.58597,0.80154,0.000943429,0.000943429,0.000943429
6,394.544,0.42255,1.59014,0.87285,0.47532,0.60827,0.4872,0.47062,0.29635,1.44274,0.80653,0.000929286,0.000929286,0.000929286
7,459.801,0.40193,1.49991,0.87014,0.43983,0.6332,0.49635,0.47916,0.30887,1.36417,0.8077,0.000915143,0.000915143,0.000915143
8,525.664,0.39145,1.40678,0.86019,0.4371,0.67773,0.56298,0.55067,0.26968,1.27783,0.79668,0.000901,0.000901,0.000901
9,590.806,0.37319,1.31721,0.86005,0.44156,0.75819,0.58756,0.5745,0.26325,1.19336,0.7976,0.000886857,0.000886857,0.000886857
10,656.528,0.38277,1.32126,0.86248,0.49341,0.68457,0.56546,0.55696,0.24792,1.19535,0.78935,0.000872714,0.000872714,0.000872714
11,721.426,0.35972,1.22702,0.85745,0.50059,0.78285,0.66848,0.66231,0.23118,1.04957,0.78631,0.000858571,0.000858571,0.000858571
12,787.229,0.35254,1.14284,0.8541,0.64616,0.64289,0.71727,0.70141,0.25642,1.14477,0.79125,0.000844429,0.000844429,0.000844429
13,852.715,0.35082,1.0346,0.85007,0.56796,0.79365,0.74523,0.73023,0.26637,0.98947,0.79178,0.000830286,0.000830286,0.000830286
14,919.428,0.35563,0.95452,0.84987,0.75466,0.70691,0.80176,0.7841,0.24906,0.77354,0.79306,0.000816143,0.000816143,0.000816143
15,987.242,0.33886,0.84559,0.84793,0.85829,0.75676,0.9066,0.88942,0.24483,0.60477,0.7899,0.000802,0.000802,0.000802
16,1052.4,0.32547,0.75778,0.84561,0.70528,0.85713,0.90252,0.89132,0.23394,0.63477,0.78533,0.000787857,0.000787857,0.000787857
17,1117.48,0.32883,0.68584,0.84763,0.79692,0.8527,0.93017,0.91849,0.23257,0.53588,0.78701,0.000773714,0.000773714,0.000773714
18,1182.17,0.3223,0.65945,0.84151,0.86659,0.88756,0.95217,0.93904,0.23519,0.41815,0.78749,0.000759571,0.000759571,0.000759571
19,1247.22,0.31544,0.62341,0.83945,0.92115,0.8517,0.96744,0.95625,0.21572,0.3874,0.7823,0.000745429,0.000745429,0.000745429
20,1312.64,0.30905,0.58938,0.84014,0.91472,0.8311,0.96514,0.94969,0.22668,0.42662,0.78624,0.000731286,0.000731286,0.000731286
21,1377.26,0.31326,0.54791,0.83975,0.92168,0.90629,0.96561,0.95529,0.21016,0.35962,0.78174,0.000717143,0.000717143,0.000717143
22,1441.76,0.3201,0.55172,0.84418,0.89342,0.9408,0.96597,0.95421,0.21633,0.35364,0.78173,0.000703,0.000703,0.000703
23,1506.7,0.31125,0.53574,0.84131,0.95932,0.90998,0.98815,0.98087,0.20159,0.299,0.77848,0.000688857,0.000688857,0.000688857
24,1572.04,0.30817,0.49082,0.83968,0.90575,0.93331,0.9854,0.97324,0.21277,0.34802,0.78251,0.000674714,0.000674714,0.000674714
25,1637.1,0.30336,0.48247,0.83864,0.91696,0.96794,0.98268,0.97294,0.21459,0.27641,0.78318,0.000660571,0.000660571,0.000660571
26,1701.7,0.30491,0.45558,0.83728,0.93374,0.95318,0.98769,0.97359,0.22344,0.27493,0.78232,0.000646429,0.000646429,0.000646429
27,1766.13,0.30699,0.44517,0.83578,0.97261,0.94017,0.98766,0.97744,0.20777,0.26011,0.78065,0.000632286,0.000632286,0.000632286
28,1830.17,0.29293,0.42902,0.83203,0.95223,0.95174,0.98866,0.97978,0.21436,0.25852,0.78102,0.000618143,0.000618143,0.000618143
29,1894.65,0.29329,0.40509,0.83575,0.96606,0.9535,0.98916,0.98134,0.20747,0.24069,0.78022,0.000604,0.000604,0.000604
30,1959.58,0.29266,0.41736,0.83275,0.94549,0.95471,0.98761,0.97895,0.19431,0.23965,0.77706,0.000589857,0.000589857,0.000589857
31,2024.08,0.28778,0.42425,0.83517,0.95299,0.95747,0.99024,0.97995,0.19784,0.23688,0.77899,0.000575714,0.000575714,0.000575714
32,2088.36,0.29044,0.41222,0.83658,0.94524,0.97224,0.99338,0.98263,0.19934,0.22631,0.77873,0.000561571,0.000561571,0.000561571
33,2153.87,0.29108,0.41498,0.83464,0.9462,0.95676,0.97834,0.9733,0.20036,0.23792,0.77848,0.000547429,0.000547429,0.000547429
34,2218.59,0.29436,0.39591,0.83354,0.9731,0.92602,0.98552,0.97773,0.20247,0.23616,0.77794,0.000533286,0.000533286,0.000533286
35,2283.11,0.27802,0.36369,0.83053,0.96422,0.9551,0.99265,0.98518,0.19457,0.21404,0.77852,0.000519143,0.000519143,0.000519143
