epoch,time_sec
1,60.37
2,58.2
3,59.03
4,59.14
5,58.55
6,58.64
7,58.31
8,58.99
9,58.21
10,58.79
11,57.78
12,58.66
13,58.41
14,59.62
15,61.03
16,58.59
17,58.4
18,57.77
19,57.88
20,58.19
21,57.27
22,57.2
23,57.65
24,57.99
25,57.76
26,57.46
27,57.44
28,57.49
29,57.93
30,58.54
31,58.08
32,57.67
33,58.65
34,57.75
35,57.4
36,58.16
37,57.66
38,57.69
39,57.75
40,57.49
41,58.0
42,57.94
43,58.17
44,58.21
45,57.85
46,58.31
47,58.45
48,57.95
49,57.95
50,58.14
51,59.14
52,57.93
53,57.45
54,58.04
55,57.66
56,57.71
57,57.56
58,57.94
59,57.62
60,58.31
61,57.28
62,56.25
63,55.88
64,56.54
65,55.65
66,56.06
67,56.4
68,55.86
69,55.52
70,56.67
