epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.6903,0.70111,3.45448,0.9781,0.01746,0.65482,0.07045,0.06316,0.48225,3.25304,0.84348,0.0681641,0.000984615,0.000984615
2,83.9557,0.57421,2.45273,0.92937,0.28675,0.4797,0.17569,0.15296,0.494,3.61181,0.86379,0.0358027,0.00195655,0.00195655
3,125.434,0.56317,2.13807,0.91279,0.3403,0.31253,0.12849,0.11387,0.47983,4.29633,0.88328,0.00341301,0.00290019,0.00290019
4,166.322,0.51062,1.89555,0.90021,0.45948,0.39707,0.28511,0.26952,0.37734,2.14913,0.82992,0.00287271,0.00287271,0.00287271
5,206.489,0.48236,1.71087,0.8929,0.36175,0.64875,0.3851,0.36404,0.34517,1.56045,0.8053,0.00283029,0.00283029,0.00283029
6,246.778,0.49408,1.61072,0.88952,0.38549,0.5433,0.39122,0.371,0.34141,1.68224,0.80643,0.00278786,0.00278786,0.00278786
7,287.097,0.46352,1.54107,0.87833,0.34299,0.68632,0.43782,0.41404,0.34658,1.49595,0.80688,0.00274543,0.00274543,0.00274543
8,327.258,0.44636,1.44668,0.87423,0.42092,0.54219,0.39105,0.37345,0.31769,1.68282,0.80745,0.002703,0.002703,0.002703
9,367.817,0.43494,1.36826,0.87381,0.44183,0.65158,0.48984,0.47272,0.2947,1.37275,0.80087,0.00266057,0.00266057,0.00266057
10,407.781,0.42933,1.36246,0.87366,0.44855,0.67466,0.52633,0.50795,0.29318,1.25136,0.79288,0.00261814,0.00261814,0.00261814
11,447.94,0.40738,1.30517,0.86317,0.41505,0.74862,0.54528,0.52641,0.28342,1.17875,0.79376,0.00257571,0.00257571,0.00257571
12,488.022,0.41923,1.25599,0.86643,0.43127,0.68612,0.52059,0.50036,0.29846,1.28262,0.79682,0.00253329,0.00253329,0.00253329
13,528.869,0.42189,1.26001,0.86498,0.46004,0.63799,0.52026,0.49152,0.34961,1.17222,0.80316,0.00249086,0.00249086,0.00249086
14,569.606,0.40103,1.21245,0.86081,0.40909,0.72079,0.53242,0.5169,0.27506,1.16542,0.79314,0.00244843,0.00244843,0.00244843
15,609.908,0.38717,1.16378,0.85528,0.41578,0.78083,0.57459,0.55865,0.26159,1.11058,0.78732,0.002406,0.002406,0.002406
16,650.119,0.37442,1.15102,0.85217,0.4477,0.81324,0.58284,0.5696,0.258,1.0704,0.78506,0.00236357,0.00236357,0.00236357
17,691.12,0.37251,1.1262,0.85613,0.47847,0.60003,0.47013,0.45452,0.30125,1.7173,0.79695,0.00232114,0.00232114,0.00232114
18,732.177,0.36865,1.11852,0.85054,0.48625,0.75727,0.60734,0.5937,0.25713,0.98457,0.78412,0.00227871,0.00227871,0.00227871
19,773.358,0.35937,1.09293,0.85084,0.47517,0.79224,0.60703,0.59497,0.24411,0.98799,0.7797,0.00223629,0.00223629,0.00223629
20,813.967,0.35993,1.06618,0.85026,0.49253,0.84176,0.63232,0.6189,0.24128,0.94737,0.78191,0.00219386,0.00219386,0.00219386
21,854.204,0.37475,1.0592,0.85367,0.49798,0.82761,0.66667,0.64825,0.26867,0.93914,0.78949,0.00215143,0.00215143,0.00215143
22,894.16,0.36223,1.05022,0.85104,0.47045,0.85041,0.63584,0.61565,0.25191,0.95051,0.78432,0.002109,0.002109,0.002109
23,934.437,0.3571,1.03054,0.8453,0.4642,0.88365,0.63357,0.62086,0.25915,0.90926,0.78544,0.00206657,0.00206657,0.00206657
24,974.16,0.35207,1.02194,0.84646,0.4946,0.81735,0.6446,0.63374,0.23288,0.95291,0.78199,0.00202414,0.00202414,0.00202414
25,1014.04,0.33975,1.00646,0.84542,0.46123,0.94741,0.66168,0.65089,0.23676,0.88838,0.77821,0.00198171,0.00198171,0.00198171
26,1054.54,0.3395,0.99445,0.84344,0.50214,0.8619,0.64618,0.63471,0.24756,0.89303,0.78104,0.00193929,0.00193929,0.00193929
27,1095.61,0.34408,0.97322,0.84593,0.50155,0.87173,0.71947,0.70673,0.22556,0.84592,0.77972,0.00189686,0.00189686,0.00189686
28,1138.27,0.33689,0.96655,0.84329,0.52613,0.87098,0.75577,0.7397,0.24533,0.83755,0.78188,0.00185443,0.00185443,0.00185443
29,1179.29,0.33707,0.94665,0.84664,0.5074,0.83926,0.74958,0.73953,0.22461,0.84147,0.77759,0.001812,0.001812,0.001812
