epoch,time_sec
1,37.21
2,35.33
3,35.51
4,35.25
5,34.87
6,34.66
7,34.83
8,34.7
9,35.03
10,34.61
11,34.9
12,34.62
13,34.72
14,34.99
15,34.79
16,34.73
17,35.43
18,35.36
19,35.38
20,34.99
21,34.89
22,34.77
23,35.02
24,34.65
25,34.52
26,34.59
27,35.69
28,36.94
29,35.58
30,34.85
31,35.03
32,34.54
33,34.89
34,34.58
35,35.06
36,34.39
37,34.54
38,34.92
39,35.22
40,34.51
41,34.64
42,34.73
43,34.76
44,34.95
45,34.64
46,34.71
47,34.37
48,34.76
49,34.47
50,34.81
51,35.08
52,35.16
53,35.12
54,35.11
55,35.12
56,34.55
57,34.57
58,34.84
59,34.63
60,35.02
61,33.09
62,33.22
63,33.71
64,33.32
65,33.54
66,33.52
67,33.33
68,33.38
69,33.21
70,33.69
