epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1511,0.5878,3.64004,0.91635,0.02228,0.59629,0.08476,0.07808,0.39863,3.27821,0.80458,0.0675077,0.000328205,0.000328205
2,82.7397,0.46745,2.65853,0.88205,0.42182,0.32834,0.18821,0.17627,0.38317,2.26316,0.82522,0.0344983,0.000652182,0.000652182
3,122.786,0.46375,2.19966,0.87347,0.44926,0.40778,0.32158,0.29226,0.43718,1.87625,0.84239,0.00147955,0.000966731,0.000966731
4,163.181,0.44756,1.87186,0.86512,0.47584,0.49701,0.38631,0.36048,0.3798,1.72445,0.82371,0.000957571,0.000957571,0.000957571
5,203.622,0.41503,1.66217,0.85477,0.50735,0.53651,0.43475,0.41634,0.30893,1.49159,0.80462,0.000943429,0.000943429,0.000943429
6,243.727,0.38612,1.53705,0.84519,0.47221,0.62474,0.46161,0.44408,0.30179,1.40324,0.80124,0.000929286,0.000929286,0.000929286
7,283.737,0.37116,1.44013,0.83813,0.44656,0.6753,0.50854,0.49112,0.29211,1.33611,0.79246,0.000915143,0.000915143,0.000915143
8,324.44,0.37288,1.36741,0.84235,0.44179,0.60416,0.46613,0.45326,0.2832,1.70016,0.79612,0.000901,0.000901,0.000901
9,363.92,0.35983,1.31738,0.84383,0.46353,0.75899,0.56407,0.55149,0.26661,1.15832,0.78901,0.000886857,0.000886857,0.000886857
10,404.134,0.35015,1.27082,0.83181,0.4558,0.75007,0.56289,0.54434,0.29555,1.2431,0.79305,0.000872714,0.000872714,0.000872714
11,444.045,0.3516,1.20076,0.83436,0.48064,0.76919,0.61956,0.60759,0.25224,1.07856,0.78668,0.000858571,0.000858571,0.000858571
12,483.501,0.33689,1.15059,0.83448,0.47384,0.80445,0.57678,0.56512,0.24709,1.18762,0.78738,0.000844429,0.000844429,0.000844429
13,523.192,0.33209,1.11263,0.83078,0.54433,0.79709,0.65195,0.64058,0.24473,1.01833,0.78547,0.000830286,0.000830286,0.000830286
14,563.471,0.33422,1.07854,0.82763,0.52527,0.71859,0.62593,0.6109,0.25644,1.06547,0.78763,0.000816143,0.000816143,0.000816143
15,603.644,0.31947,1.002,0.82634,0.5481,0.77708,0.72644,0.71253,0.2363,0.90865,0.78389,0.000802,0.000802,0.000802
16,643.992,0.31709,0.93298,0.82651,0.60675,0.84082,0.80624,0.78988,0.23812,0.78672,0.78459,0.000787857,0.000787857,0.000787857
17,684.813,0.32248,0.87981,0.83352,0.8284,0.73522,0.83928,0.82658,0.22608,0.64629,0.78075,0.000773714,0.000773714,0.000773714
18,725.433,0.30639,0.77611,0.82607,0.76597,0.80598,0.86066,0.84731,0.23525,0.6123,0.78261,0.000759571,0.000759571,0.000759571
19,765.989,0.31332,0.74276,0.82814,0.63774,0.84239,0.80868,0.78985,0.24676,0.9188,0.78683,0.000745429,0.000745429,0.000745429
20,805.995,0.30781,0.71469,0.82365,0.86015,0.85986,0.9225,0.90945,0.2275,0.46582,0.78088,0.000731286,0.000731286,0.000731286
21,845.758,0.32209,0.67133,0.82807,0.87632,0.84562,0.92717,0.90719,0.25971,0.46463,0.78587,0.000717143,0.000717143,0.000717143
22,888.021,0.32266,0.65177,0.82345,0.80354,0.86929,0.93792,0.91982,0.24252,0.5278,0.78092,0.000703,0.000703,0.000703
23,927.624,0.29855,0.6094,0.82238,0.92041,0.88884,0.97339,0.96225,0.2192,0.37172,0.77761,0.000688857,0.000688857,0.000688857
24,967.257,0.28658,0.56153,0.81628,0.83611,0.87792,0.94233,0.92899,0.21607,0.46969,0.77918,0.000674714,0.000674714,0.000674714
25,1007.86,0.2836,0.54161,0.81978,0.93704,0.88452,0.95636,0.94577,0.21069,0.33529,0.77625,0.000660571,0.000660571,0.000660571
26,1047.68,0.29151,0.51902,0.82035,0.8951,0.94751,0.97355,0.95982,0.2194,0.32059,0.77756,0.000646429,0.000646429,0.000646429
27,1088.03,0.29843,0.51565,0.82661,0.9026,0.94118,0.97432,0.96813,0.21574,0.30829,0.77695,0.000632286,0.000632286,0.000632286
28,1128.39,0.29319,0.48952,0.82479,0.95016,0.93803,0.98624,0.97731,0.21565,0.28956,0.77643,0.000618143,0.000618143,0.000618143
29,1168.89,0.28499,0.44953,0.81865,0.88104,0.91463,0.96928,0.96161,0.19913,0.35268,0.77541,0.000604,0.000604,0.000604
30,1209.04,0.27862,0.46452,0.81634,0.92937,0.96447,0.98518,0.9722,0.21813,0.28373,0.77809,0.000589857,0.000589857,0.000589857
31,1248.9,0.28311,0.46119,0.82042,0.95908,0.94505,0.98704,0.97721,0.20275,0.27606,0.77763,0.000575714,0.000575714,0.000575714
32,1288.63,0.27736,0.42965,0.82265,0.84808,0.84554,0.95464,0.94641,0.19667,0.48559,0.77548,0.000561571,0.000561571,0.000561571
33,1329.4,0.27324,0.41295,0.81078,0.92977,0.9691,0.98704,0.97942,0.1968,0.26644,0.77396,0.000547429,0.000547429,0.000547429
34,1370,0.27388,0.43179,0.81482,0.9539,0.94641,0.98955,0.97924,0.20654,0.26461,0.77611,0.000533286,0.000533286,0.000533286
35,1410.32,0.26648,0.4127,0.81634,0.97539,0.95436,0.9869,0.97641,0.20551,0.24609,0.77705,0.000519143,0.000519143,0.000519143
36,1450.99,0.26877,0.40282,0.81382,0.95739,0.95707,0.98878,0.98249,0.20203,0.24295,0.77507,0.000505,0.000505,0.000505
37,1491.42,0.27179,0.38933,0.82308,0.97623,0.96025,0.98761,0.98102,0.19396,0.2325,0.77354,0.000490857,0.000490857,0.000490857
38,1531.25,0.26564,0.38073,0.8144,0.96093,0.97013,0.98762,0.98102,0.19813,0.22659,0.77411,0.000476714,0.000476714,0.000476714
39,1570.75,0.26932,0.36348,0.82016,0.96853,0.96167,0.98854,0.98106,0.18897,0.22931,0.77287,0.000462571,0.000462571,0.000462571
40,1611.33,0.2612,0.35307,0.81333,0.9703,0.96916,0.98971,0.98221,0.19937,0.21322,0.77452,0.000448429,0.000448429,0.000448429
41,1651.38,0.26751,0.37048,0.81313,0.97508,0.94348,0.99149,0.98178,0.19246,0.22385,0.77357,0.000434286,0.000434286,0.000434286
42,1692.27,0.2533,0.3474,0.80908,0.97692,0.9512,0.98697,0.98278,0.18655,0.21273,0.77383,0.000420143,0.000420143,0.000420143
43,1733,0.25057,0.33928,0.81312,0.97831,0.96368,0.98767,0.98312,0.1869,0.20656,0.7728,0.000406,0.000406,0.000406
44,1773.73,0.25181,0.33003,0.81409,0.98301,0.95825,0.99128,0.9866,0.17877,0.2029,0.77136,0.000391857,0.000391857,0.000391857
45,1813.48,0.24299,0.31108,0.81356,0.97492,0.96252,0.98983,0.98666,0.17513,0.19931,0.77148,0.000377714,0.000377714,0.000377714
46,1854.31,0.24329,0.31085,0.81154,0.97621,0.95194,0.98981,0.98334,0.18464,0.20978,0.77269,0.000363571,0.000363571,0.000363571
47,1893.86,0.24916,0.33196,0.80876,0.98389,0.96739,0.99128,0.98332,0.18558,0.19533,0.77228,0.000349429,0.000349429,0.000349429
48,1933.87,0.24895,0.32937,0.81241,0.98312,0.97193,0.9921,0.98604,0.1776,0.19059,0.77168,0.000335286,0.000335286,0.000335286
49,1973.57,0.24106,0.31048,0.81444,0.98363,0.96947,0.99057,0.98594,0.18002,0.18786,0.77285,0.000321143,0.000321143,0.000321143
50,2013.85,0.23552,0.30244,0.81077,0.98525,0.9758,0.99141,0.98647,0.17427,0.1795,0.77142,0.000307,0.000307,0.000307
51,2054,0.23763,0.31132,0.81185,0.98283,0.97361,0.99179,0.98633,0.17891,0.17502,0.77089,0.000292857,0.000292857,0.000292857
52,2093.63,0.22916,0.28505,0.80837,0.98633,0.97371,0.99178,0.98792,0.16422,0.17179,0.76994,0.000278714,0.000278714,0.000278714
53,2133.87,0.22712,0.28284,0.81022,0.98228,0.97842,0.99136,0.98794,0.16832,0.17431,0.77046,0.000264571,0.000264571,0.000264571
54,2173.72,0.22861,0.27722,0.809,0.98777,0.97392,0.99457,0.99093,0.16729,0.17081,0.77109,0.000250429,0.000250429,0.000250429
55,2213.75,0.22436,0.2803,0.80796,0.98553,0.97843,0.99229,0.98981,0.17541,0.1742,0.77175,0.000236286,0.000236286,0.000236286
56,2254.2,0.23276,0.28649,0.8084,0.98522,0.97584,0.99177,0.98861,0.16777,0.16849,0.7701,0.000222143,0.000222143,0.000222143
57,2294.48,0.22766,0.28085,0.80704,0.98556,0.97279,0.99277,0.99042,0.1613,0.16401,0.7693,0.000208,0.000208,0.000208
58,2334.35,0.21789,0.26536,0.80445,0.9862,0.97785,0.99139,0.98881,0.16359,0.15847,0.76902,0.000193857,0.000193857,0.000193857
59,2374.87,0.21761,0.25862,0.80544,0.98797,0.97655,0.99143,0.98953,0.16329,0.15863,0.76876,0.000179714,0.000179714,0.000179714
60,2415.57,0.21678,0.26545,0.80566,0.98672,0.97417,0.99363,0.99263,0.15921,0.15657,0.76945,0.000165571,0.000165571,0.000165571
61,2455.66,0.17316,0.18652,0.78178,0.98749,0.97616,0.99362,0.99117,0.15681,0.15574,0.76861,0.000151429,0.000151429,0.000151429
62,2495.09,0.16931,0.18374,0.78087,0.98675,0.97492,0.99194,0.98981,0.15799,0.15283,0.7683,0.000137286,0.000137286,0.000137286
63,2534.48,0.16694,0.184,0.77967,0.98542,0.97684,0.99185,0.99028,0.15942,0.15529,0.76832,0.000123143,0.000123143,0.000123143
64,2573.74,0.16693,0.17854,0.77718,0.98651,0.97605,0.99162,0.98999,0.15298,0.15248,0.7668,0.000109,0.000109,0.000109
65,2613.15,0.16506,0.17499,0.78029,0.98883,0.97508,0.99114,0.98916,0.1579,0.15417,0.76807,9.48571e-05,9.48571e-05,9.48571e-05
66,2652.02,0.16326,0.17396,0.7803,0.98639,0.97523,0.99168,0.99005,0.15076,0.14656,0.76768,8.07143e-05,8.07143e-05,8.07143e-05
67,2691.1,0.1584,0.18133,0.77914,0.98723,0.975,0.99226,0.99078,0.15131,0.14414,0.76791,6.65714e-05,6.65714e-05,6.65714e-05
68,2731.2,0.1567,0.17208,0.77703,0.98747,0.97781,0.99253,0.9915,0.148,0.14215,0.76724,5.24286e-05,5.24286e-05,5.24286e-05
69,2770.95,0.15358,0.16288,0.77475,0.9879,0.97739,0.99217,0.99041,0.14698,0.14055,0.76675,3.82857e-05,3.82857e-05,3.82857e-05
70,2810.3,0.15394,0.17269,0.77861,0.98846,0.97575,0.992,0.99095,0.14532,0.14121,0.76669,2.41429e-05,2.41429e-05,2.41429e-05
