epoch,time_sec
1,36.56
2,35.74
3,35.05
4,34.69
5,34.63
6,34.49
7,34.2
8,34.95
9,34.36
10,34.19
11,34.41
12,34.21
13,34.48
14,34.53
15,34.55
16,34.9
17,35.82
18,35.0
19,35.39
20,34.32
21,34.57
22,36.86
23,34.58
24,34.29
25,34.64
26,34.35
27,34.57
28,34.74
29,34.7
30,34.62
31,34.82
32,34.57
33,34.89
34,34.81
35,34.74
36,34.91
37,34.61
38,34.4
39,33.86
40,34.75
41,34.47
42,35.17
43,34.83
44,34.98
45,34.57
46,34.76
47,34.51
48,34.36
49,34.81
50,34.53
51,34.52
52,34.27
53,34.58
54,34.51
55,34.47
56,34.61
57,34.68
58,34.73
59,34.79
60,34.77
61,34.21
62,33.93
63,33.75
64,33.66
65,33.63
66,33.67
67,33.95
68,34.25
69,34.54
70,33.95
