epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.9778,0.68933,2.8049,0.9713,0,0,0,0,3.77005,inf,23.0019,0.0702362,0.00330709,0.00330709
2,71.4765,0.5583,1.65462,0.88661,0.44057,0.43776,0.28501,0.23859,0.69225,5.48252,1.06075,0.0402034,0.00660755,0.00660755
3,98.7463,0.53347,1.35605,0.87451,0.4557,0.4126,0.33516,0.27584,0.74244,3.76989,1.00187,0.0101375,0.00987501,0.00987501
4,127.223,0.54036,1.2796,0.87442,0.47709,0.45617,0.37205,0.3269,0.59716,4.75497,0.91324,0.0098515,0.0098515,0.0098515
5,154.614,0.44067,0.98928,0.83799,0.72286,0.53385,0.61514,0.55733,0.51591,1.82515,0.88789,0.009802,0.009802,0.009802
6,181.576,0.39488,0.7989,0.81782,0.75136,0.59348,0.70416,0.64963,0.41631,1.02132,0.82943,0.0097525,0.0097525,0.0097525
7,208.62,0.3553,0.69413,0.80394,0.76067,0.68637,0.77783,0.7226,0.38165,0.90075,0.81467,0.009703,0.009703,0.009703
8,235.829,0.32599,0.57815,0.79359,0.67919,0.69224,0.78303,0.72584,0.38923,0.8721,0.822,0.0096535,0.0096535,0.0096535
9,263.055,0.32731,0.54021,0.79165,0.72968,0.74485,0.84291,0.79628,0.34376,0.68158,0.80105,0.009604,0.009604,0.009604
10,290.048,0.31007,0.47376,0.78806,0.79625,0.76785,0.86587,0.82253,0.32327,0.65837,0.79812,0.0095545,0.0095545,0.0095545
11,317.18,0.29998,0.43399,0.78766,0.79934,0.75491,0.86953,0.82144,0.3307,0.68569,0.7957,0.009505,0.009505,0.009505
12,344.216,0.28455,0.4305,0.78304,0.84746,0.92659,0.95582,0.91298,0.29472,0.41702,0.79033,0.0094555,0.0094555,0.0094555
13,371.84,0.27835,0.38467,0.78071,0.924,0.89085,0.95268,0.90846,0.31018,0.44269,0.79069,0.009406,0.009406,0.009406
14,398.789,0.28585,0.36407,0.77978,0.88109,0.91929,0.96107,0.91837,0.28742,0.4541,0.78623,0.0093565,0.0093565,0.0093565
15,426.285,0.27067,0.33582,0.77848,0.93118,0.91479,0.98161,0.93867,0.29072,0.38975,0.78775,0.009307,0.009307,0.009307
16,453.822,0.26044,0.31056,0.77509,0.94608,0.90083,0.97711,0.94069,0.29378,0.35394,0.78925,0.0092575,0.0092575,0.0092575
17,481.396,0.24679,0.29475,0.7715,0.89671,0.9432,0.97675,0.94601,0.26595,0.36799,0.78087,0.009208,0.009208,0.009208
18,508.591,0.23785,0.27658,0.76993,0.89216,0.93361,0.9621,0.93102,0.25787,0.3573,0.77831,0.0091585,0.0091585,0.0091585
19,535.615,0.23677,0.27414,0.76926,0.93909,0.95557,0.97568,0.9442,0.25831,0.36004,0.77721,0.009109,0.009109,0.009109
20,562.886,0.23753,0.26363,0.76942,0.94137,0.96539,0.98684,0.95376,0.25641,0.30035,0.7794,0.0090595,0.0090595,0.0090595
21,590.04,0.23504,0.25777,0.76813,0.94083,0.93406,0.98609,0.94692,0.25199,0.32015,0.77962,0.00901,0.00901,0.00901
22,616.945,0.22227,0.24048,0.76598,0.94181,0.95244,0.98047,0.95157,0.23983,0.28864,0.77369,0.0089605,0.0089605,0.0089605
23,643.773,0.20904,0.23598,0.76363,0.9336,0.95201,0.98266,0.9548,0.229,0.29807,0.7744,0.008911,0.008911,0.008911
24,671.189,0.20353,0.23537,0.76223,0.94907,0.9555,0.98398,0.9579,0.24038,0.28429,0.77243,0.0088615,0.0088615,0.0088615
25,698.746,0.20146,0.23141,0.76189,0.82452,0.89632,0.94987,0.92385,0.23593,0.42106,0.77284,0.008812,0.008812,0.008812
26,726.133,0.19844,0.22956,0.76146,0.97191,0.96573,0.99124,0.96895,0.21659,0.27015,0.76839,0.0087625,0.0087625,0.0087625
27,753.785,0.20061,0.23024,0.7604,0.95965,0.97273,0.99183,0.96732,0.22454,0.27384,0.76908,0.008713,0.008713,0.008713
28,781.209,0.19792,0.22201,0.7608,0.94889,0.94453,0.97847,0.95598,0.21655,0.30166,0.77166,0.0086635,0.0086635,0.0086635
29,808.561,0.19034,0.21162,0.7591,0.93554,0.96269,0.98596,0.95898,0.22636,0.28581,0.77352,0.008614,0.008614,0.008614
30,835.974,0.18637,0.20088,0.75856,0.95058,0.96367,0.98726,0.96197,0.22421,0.25925,0.77144,0.0085645,0.0085645,0.0085645
31,863.626,0.19374,0.20152,0.75909,0.95448,0.95059,0.99041,0.96483,0.20973,0.27966,0.76872,0.008515,0.008515,0.008515
32,891.376,0.18671,0.19892,0.75856,0.95579,0.94881,0.98822,0.96367,0.21381,0.29563,0.77222,0.0084655,0.0084655,0.0084655
33,918.582,0.17748,0.18756,0.75656,0.95288,0.9458,0.99154,0.96708,0.21541,0.34804,0.77167,0.008416,0.008416,0.008416
34,946.012,0.17067,0.17894,0.75652,0.9573,0.97633,0.99254,0.96769,0.2105,0.26627,0.76932,0.0083665,0.0083665,0.0083665
35,973.205,0.17428,0.17868,0.75671,0.96123,0.97304,0.9925,0.97169,0.19638,0.24443,0.76573,0.008317,0.008317,0.008317
36,1000.11,0.16171,0.16814,0.75533,0.96199,0.98307,0.9939,0.9732,0.19494,0.23912,0.76619,0.0082675,0.0082675,0.0082675
37,1027.83,0.16514,0.16798,0.75468,0.95492,0.97684,0.9922,0.96978,0.19687,0.25323,0.7666,0.008218,0.008218,0.008218
38,1055.2,0.16257,0.16502,0.75428,0.94318,0.95793,0.98706,0.96305,0.19717,0.30212,0.76655,0.0081685,0.0081685,0.0081685
39,1082.79,0.15667,0.15676,0.75419,0.95873,0.95821,0.99013,0.96815,0.19572,0.2373,0.7648,0.008119,0.008119,0.008119
40,1109.86,0.15717,0.15662,0.75383,0.95989,0.96924,0.99154,0.96626,0.18376,0.249,0.76341,0.0080695,0.0080695,0.0080695
41,1136.95,0.14899,0.15096,0.75233,0.94325,0.97093,0.98689,0.96855,0.17976,0.26658,0.76544,0.00802,0.00802,0.00802
42,1164.21,0.14902,0.14852,0.75283,0.94542,0.97887,0.98924,0.97071,0.18405,0.28724,0.76358,0.0079705,0.0079705,0.0079705
43,1191.33,0.15111,0.14888,0.75121,0.96982,0.95388,0.99166,0.97081,0.18207,0.22625,0.76301,0.007921,0.007921,0.007921
