epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.252,3.24051,5.91682,4.33276,0,0,0,0,2.56238,5.54272,4.16006,4.27556e-05,4.27556e-05,4.27556e-05
2,13.459,3.22866,5.70625,4.13553,0,0,0,0,2.44496,5.4571,4.03689,8.43843e-05,8.43843e-05,8.43843e-05
3,20.142,2.87147,5.16373,3.85101,0.50603,0.04618,0.0231,0.01093,2.25637,4.20174,3.60751,0.000124297,0.000124297,0.000124297
4,26.526,2.48043,4.49281,3.51629,0.44778,0.04173,0.0399,0.0182,2.05719,3.94549,3.49287,0.000122278,0.000122278,0.000122278
5,33.097,2.15285,3.98148,3.23605,0.44367,0.10562,0.07407,0.0455,1.51613,3.06383,2.92942,0.000119704,0.000119704,0.000119704
6,39.355,1.87289,3.53012,2.9208,0.57986,0.07426,0.08653,0.05797,1.32731,2.84232,2.65006,0.00011713,0.00011713,0.00011713
7,45.917,1.68799,3.30964,2.7004,0.48313,0.23036,0.14,0.10185,1.13886,2.48302,2.36486,0.000114556,0.000114556,0.000114556
8,52.446,1.52344,3.10718,2.50701,0.52037,0.25411,0.19753,0.15011,1.01378,2.29816,2.16556,0.000111982,0.000111982,0.000111982
9,59.019,1.41013,2.95521,2.35087,0.45977,0.30017,0.21518,0.17292,0.89671,2.19803,1.97881,0.000109408,0.000109408,0.000109408
10,65.533,1.34091,2.8266,2.22901,0.48599,0.34276,0.24882,0.19667,0.85371,2.12674,1.87016,0.000106834,0.000106834,0.000106834
11,72.111,1.28735,2.77923,2.14296,0.53145,0.38995,0.29041,0.23696,0.78728,1.9605,1.79316,0.00010426,0.00010426,0.00010426
12,78.527,1.20258,2.62907,2.05894,0.51446,0.40738,0.32601,0.27422,0.69663,1.86959,1.72043,0.000101686,0.000101686,0.000101686
